i	north	east	parent	distance	visited
375	39.9097	41.2756	0	64.9054	1
376	-7.47222	112.434	0	148.802	1
377	18.0172	-94.5606	0	118.841	1
378	43.0747	-89.3842	0	100.953	1
379	-22.6528	-43.0408	0	120.595	1
380	35.6947	139.982	0	150.147	1
381	39.3408	112.429	0	123.315	1
382	22.5118	103.96	0	123.945	1
383	44.4072	8.93398	0	46.4599	1
384	36.0658	139.522	0	149.584	1
385	37.7556	128.896	0	139.082	1
386	-26.4858	-49.0669	0	126.398	1
387	12.3572	-1.53528	0	77.658	1
388	38.9144	139.836	0	148.876	1
389	10.4	-71.4333	0	106.953	1
390	10.5	-66.9333	0	103.925	1
391	-29.1678	-51.1789	0	129.693	1
392	29.987	31.2118	0	67.6442	1
393	27.6995	68.8673	0	92.8658	1
394	30.6583	117.485	0	131.621	1
395	1.44722	125.198	0	153.35	1
396	33.2	-96.6333	0	112.09	1
397	29.5854	103.758	0	120.065	1
398	-1.51667	37.2667	0	98.8135	1
399	-21.207	-159.771	0	194.663	1
400	34.7358	135.562	0	146.394	1
401	29.3498	104.765	0	121.054	1
402	22.7	88.45	0	111.143	1
403	36.7167	119.1	0	130.476	1
404	-22.3147	-49.0606	0	122.562	1
405	37.2167	28.3667	0	59.9229	1
406	31.2231	121.54	0	135.006	1
407	24.8894	74.6239	0	99.0359	1
408	23.25	77.4167	0	102.22	1
409	33.5833	-112.2	0	125.585	1
410	-17.535	-39.7419	0	114.644	1
411	3.08333	101.533	0	133.654	1
412	51.2667	-1.0876	0	38.7486	1
413	-13.71	-76.2032	0	128.696	1
414	57.6167	39.85	0	51.3488	1
415	25.75	-100.283	0	119.1	1
416	27.778	120.653	0	135.752	1
417	37	35.325	0	63.6935	1
418	-9.31722	28.7331	0	103.39	1
419	37.8833	41.1333	0	66.3935	1
420	37.75	39.3167	0	65.3901	1
421	32.3256	50.8644	0	76.8995	1
422	3.44	-76.5197	0	115.533	1
423	36.5448	104.177	0	117.091	1
424	37.3167	40.7378	0	66.5965	1
425	43.45	-79.6833	0	92.284	1
426	41.4333	2.23333	0	48.618	1
427	-36.8271	-73.0503	0	146.361	1
428	7.05	38.4667	0	91.4352	1
429	30.3931	104.546	0	120.345	1
430	43.8849	-79.4304	0	91.8466	1
431	38.9	121.6	0	131.901	1
432	23.2993	116.159	0	133.947	1
433	13.0975	-59.6167	0	97.3044	1
434	35.2222	138.621	0	149.052	1
435	33.5131	36.2919	0	67.1407	1
436	35.8531	139.412	0	149.558	1
437	7.7	27.9833	0	86.9273	1
438	-23.8597	35.3472	0	119.22	1
439	32.3328	34.86	0	67.3849	1
440	47.0331	9.06639	0	43.9131	1
441	17.7167	33.9833	0	79.8733	1
442	44.4297	24.3642	0	51.6746	1
443	5.36306	100.467	0	131.366	1
444	22.9	88.42	0	110.998	1
445	45.5836	9.27361	0	45.3742	1
446	-2.53194	-44.1078	0	102.507	1
447	35.5236	35.7917	0	65.1822	1
448	41.1333	-8.61667	0	49.6205	1
449	40.4181	17.2408	0	52.494	1
450	10.2333	-66.65	0	103.947	1
451	51.5833	-3	0	38.5336	1
452	-6.48333	-76.3667	0	123.048	1
453	12.15	-86.2667	0	116.201	1
454	35.5667	-5.36667	0	54.6972	1
455	44.5639	27.3661	0	53.041	1
456	35.9786	126.711	0	137.746	1
457	23.4088	88.3657	0	110.648	1
458	10.4236	-75.5253	0	109.711	1
459	-27.5933	-48.553	0	127.223	1
460	53.7997	-1.54917	0	36.2334	1
461	38.75	-9.23333	0	52.0751	1
462	-15.4167	28.2833	0	109.145	1
463	-6.28889	106.718	0	143.737	1
464	41.8931	12.4828	0	49.7001	1
465	25.7333	82.6833	0	104.722	1
466	20.9667	-76.95	0	103.377	1
467	28.5833	112.333	0	128.027	1
468	22.82	88.35	0	110.99	1
469	23.7503	114.692	0	132.451	1
470	-12.4381	130.841	0	166.171	1
471	30.5833	32.2667	0	67.6127	1
472	26.4833	87.2833	0	107.948	1
473	27.9708	-82.4647	0	103.189	1
474	15.1167	105.783	0	129.606	1
475	54.2333	49.5833	0	61.1372	1
476	31.7135	118.36	0	131.934	1
477	57.9167	59.9667	0	68.0099	1
478	37.9842	23.7281	0	57.1723	1
479	0.313611	32.5811	0	95.4211	1
480	25.15	82.58	0	105	1
481	41.1495	-8.61078	0	49.6036	1
482	-23.62	-45.4128	0	122.359	1
483	35.2281	128.681	0	139.853	1
484	34.7607	127.662	0	139.101	1
485	28.7079	80.5961	0	101.254	1
486	36.3072	139.983	0	149.927	1
487	39.0033	117.711	0	128.283	1
488	-7.33333	108.2	0	145.537	1
489	51.2089	3.22417	0	38.9249	1
490	50.8333	12.9167	0	41.2416	1
491	40.0936	113.291	0	123.797	1
492	-23.5111	-46.8764	0	122.809	1
493	33.9697	35.6156	0	66.3917	1
494	-1.28639	36.8172	0	98.4313	1
495	44.39	-79.686	0	91.8157	1
496	45.5389	10.2203	0	45.6207	1
497	38.5731	68.7864	0	85.8854	1
498	0.533333	101.45	0	135.264	1
499	9.53333	31.65	0	86.4674	1
500	52.3833	4.9	0	37.9345	1
501	36.1833	139.717	0	149.723	1
502	53.1167	25.9833	0	45.1167	1
503	46.1667	21.3167	0	48.7418	1
504	33.5667	-101.883	0	116.469	1
505	-29.99	-51.0839	0	130.412	1
506	4.43778	-75.2006	0	113.912	1
507	31.5938	64.3716	0	86.9194	1
508	9.04361	-69.7489	0	106.859	1
509	-14.8658	-40.8389	0	112.537	1
510	52.2789	8.04306	0	38.5691	1
511	-1.29694	-47.9219	0	103.11	1
512	-26.2672	28.1219	0	119.62	1
513	36.3667	140.467	0	150.358	1
514	31.8972	54.3678	0	79.5725	1
515	31.7167	72.9833	0	93.3998	1
516	50.6722	17.9253	0	43.2202	1
517	35.0167	135.85	0	146.555	1
518	17.2983	-62.7342	0	96.0266	1
519	47.1622	27.5889	0	50.9531	1
520	-14.0667	-75.7333	0	128.707	1
521	22.81	88.23	0	110.901	1
522	-15.4908	-70.1269	0	126.673	1
523	19.2436	-103.731	0	125.565	1
524	32.4464	-99.7456	0	115.159	1
525	34.7492	113.661	0	126.378	1
526	10.2469	-67.5958	0	104.545	1
527	19.0514	-98.2178	0	121.163	1
528	36.8008	10.18	0	54.1644	1
529	28.8918	105.441	0	121.869	1
530	51.5167	81.2	0	89.8577	1
531	29.5872	105.064	0	121.194	1
532	63.2017	75.4517	0	80.0694	1
533	53.3667	55.9333	0	66.8621	1
534	39.8208	34.8083	0	61.0702	1
535	6.2	-1.68333	0	83.8169	1
536	18.8842	-96.9256	0	120.217	1
537	51.4699	6.8514	0	39.1345	1
538	10.3003	-67.6336	0	104.529	1
539	9.29944	-75.3958	0	110.441	1
540	15.3167	-88.0167	0	115.432	1
541	-51.6939	-57.8496	0	153.048	1
542	-45.8667	-67.5	0	151.71	1
543	19.18	72.9633	0	101.681	1
544	-0.283333	36.0667	0	97.2208	1
545	23.1115	114.415	0	132.533	1
546	33.27	-7.58722	0	57.2351	1
